Wall time,Step,Value
1677001229.6814613,1048576,-2322.607177734375
1677001236.2685704,1050624,-2300.744140625
1677001248.3922071,1054720,-2317.032470703125
1677001261.2842603,1058816,-2305.3955078125
1677001268.1477227,1060864,-2290.038818359375
1677001281.048837,1064960,-2307.053955078125
1677001313.0947983,1075200,-2317.86328125
1677001319.5701158,1077248,-2304.946044921875
1677001358.067777,1089536,-2211.5009765625
1677001371.003287,1093632,-2208.53759765625
1677001377.5627923,1095680,-2239.0498046875
1677001383.9334874,1097728,-2278.77783203125
1677001389.8798857,1099776,-2249.41845703125
1677001399.5401554,1101824,-2272.64453125
1677001406.0271056,1103872,-2239.49658203125
1677001418.9215293,1107968,-2250.1630859375
1677001425.5937772,1110016,-2251.17724609375
1677001431.907013,1112064,-2226.531982421875
1677001464.2027595,1122304,-2253.660400390625
1677001470.419602,1124352,-2247.13671875
1677001477.1840024,1126400,-2223.1650390625
1677001489.974452,1130496,-2249.087158203125
1677001515.9325423,1138688,-2215.612548828125
1677001528.8659081,1142784,-2115.6474609375
1677001541.301004,1146880,-2101.83251953125
1677001568.5600736,1155072,-2226.91943359375
1677001575.2696755,1157120,-2221.9228515625
1677001581.6801775,1159168,-2245.511962890625
1677001606.789527,1167360,-2271.63623046875
1677001632.51222,1175552,-2410.4169921875
1677001639.022903,1177600,-2459.802490234375
1677001658.015911,1183744,-2427.677490234375
1677001670.624152,1187840,-2435.83349609375
1677001677.2180126,1189888,-2497.57568359375
1677001684.0238574,1191936,-2494.913330078125
1677001690.1896195,1193984,-2461.271240234375
1677001696.7357013,1196032,-2443.95263671875
1677001703.2515776,1198080,-2468.960693359375
1677001719.5235589,1202176,-2445.69677734375
1677001725.8301685,1204224,-2458.34375
1677001758.5829048,1214464,-2399.962890625
1677001765.1797936,1216512,-2368.942138671875
1677001783.998746,1222656,-2281.942626953125
1677001790.4498196,1224704,-2315.39208984375
1677001809.767853,1230848,-2400.50146484375
1677001822.6838696,1234944,-2398.7763671875
1677001849.561804,1243136,-2413.762451171875
1677001862.8470323,1247232,-2439.73779296875
1677001875.8905,1251328,-2458.78466796875
1677001888.4034681,1255424,-2488.112060546875
1677001907.259344,1261568,-2427.995849609375
1677001932.7966855,1269760,-2428.2080078125
1677001939.398055,1271808,-2377.098876953125
1677001952.0489192,1275904,-2342.03369140625
1677001971.8054602,1282048,-2311.445068359375
1677001997.8495984,1290240,-2270.31591796875
1677002034.4318783,1300480,-2275.32421875
1677002079.030968,1314816,-2397.76513671875
1677002085.7082574,1316864,-2413.65771484375
1677002098.4534853,1320960,-2391.8330078125
1677002104.6601148,1323008,-2419.116455078125
1677002111.1309576,1325056,-2398.11669921875
1677002117.398523,1327104,-2469.220947265625
1677002123.7311733,1329152,-2470.689697265625
1677002130.1793964,1331200,-2501.86279296875
1677002149.6080482,1337344,-2512.455322265625
1677002175.3995748,1345536,-2579.98388671875
1677002181.4289222,1347584,-2568.919921875
1677002206.4621642,1355776,-2596.36474609375
1677002225.8377972,1361920,-2652.779541015625
1677002239.027001,1366016,-2649.5673828125
1677002252.2538447,1370112,-2662.575927734375
1677002271.7877662,1376256,-2750.2998046875
1677002278.519908,1378304,-2739.423583984375
1677002285.2835793,1380352,-2703.0732421875
1677002291.4780116,1382400,-2667.19091796875
1677002297.4730515,1384448,-2661.6650390625
1677002310.281669,1388544,-2601.826171875
1677002316.6142933,1390592,-2613.058349609375
1677002323.036347,1392640,-2589.959228515625
1677002336.0535312,1396736,-2554.20263671875
1677002342.7882304,1398784,-2620.612060546875
1677002351.5016356,1400832,-2642.943603515625
1677002358.0496757,1402880,-2637.2001953125
1677002371.2460227,1406976,-2645.708984375
1677002384.338466,1411072,-2589.087890625
1677002390.8403096,1413120,-2593.223388671875
1677002437.491139,1427456,-2547.843017578125
1677002456.0865242,1433600,-2523.1767578125
1677002462.3173308,1435648,-2547.07275390625
1677002468.9452398,1437696,-2559.427490234375
1677002481.8129003,1441792,-2576.025634765625
1677002501.5349207,1447936,-2517.33056640625
1677002513.7306378,1452032,-2487.08056640625
1677002526.3342674,1456128,-2441.614990234375
1677002552.3625734,1464320,-2429.22021484375
1677002577.9037414,1472512,-2441.82861328125
1677002596.8853178,1478656,-2465.52880859375
1677002603.5915544,1480704,-2484.88671875
1677002610.1631565,1482752,-2486.55517578125
1677002616.6572204,1484800,-2492.69287109375
1677002623.4259734,1486848,-2500.493896484375
1677002655.5662494,1497088,-2483.8447265625
1677002697.6335552,1509376,-2598.992431640625
1677002710.3674462,1513472,-2651.323486328125
1677002716.8200803,1515520,-2608.022705078125
1677002723.2838428,1517568,-2639.28955078125
1677002742.8618429,1523712,-2639.147705078125
1677002762.1859004,1529856,-2665.083740234375
1677002768.3013146,1531904,-2691.866943359375
1677002787.711746,1538048,-2772.950439453125
1677002794.1949341,1540096,-2807.5625
1677002800.7034528,1542144,-2816.75244140625
1677002813.635214,1546240,-2921.570068359375
1677002826.2277281,1550336,-2918.690185546875
1677002865.9028351,1562624,-2827.352783203125
1677002885.714376,1568768,-2822.755615234375
1677002892.0666265,1570816,-2839.747802734375
1677002910.73728,1576960,-2868.871337890625
1677002917.1948848,1579008,-2880.1572265625
1677002924.0057623,1581056,-2859.06982421875
1677002937.6790547,1585152,-2823.076416015625
1677002944.0034337,1587200,-2797.658935546875
1677002950.284106,1589248,-2747.6455078125
1677002983.0609941,1599488,-2759.662841796875
1677003015.314327,1607680,-2759.719482421875
1677003021.7832692,1609728,-2718.810302734375
1677003034.1775086,1613824,-2738.08544921875
1677003047.4895313,1617920,-2691.375
1677003060.8424346,1622016,-2615.737548828125
1677003067.4117546,1624064,-2609.759765625
1677003073.5899384,1626112,-2573.529052734375
1677003080.1949084,1628160,-2505.428955078125
1677003086.3145337,1630208,-2430.841796875
1677003106.027156,1636352,-2382.392333984375
1677003119.0703413,1640448,-2366.918212890625
1677003131.5936496,1644544,-2392.343505859375
1677003151.240355,1650688,-2328.19189453125
1677003164.5177941,1654784,-2396.42041015625
1677003171.3289495,1656832,-2386.12841796875
1677003178.3850281,1658880,-2343.955078125
1677003204.688204,1667072,-2345.419189453125
1677003217.3538377,1671168,-2341.011962890625
1677003223.9186256,1673216,-2312.331298828125
1677003236.6625245,1677312,-2400.521728515625
1677003255.9616017,1683456,-2444.692138671875
1677003281.881366,1691648,-2430.30126953125
1677003300.919376,1697792,-2477.45556640625
1677003325.129743,1703936,-2449.498779296875
1677003331.8250732,1705984,-2418.22021484375
1677003345.9233062,1710080,-2432.969482421875
1677003359.5219343,1714176,-2425.03125
1677003372.447906,1718272,-2438.396728515625
1677003405.8957975,1728512,-2388.080322265625
1677003424.963693,1734656,-2428.864990234375
1677003431.6584601,1736704,-2472.43701171875
1677003438.8547382,1738752,-2464.298583984375
1677003459.4347234,1744896,-2411.12060546875
1677003497.6173792,1757184,-2352.293212890625
1677003510.9035208,1761280,-2346.12646484375
1677003517.3665617,1763328,-2368.960205078125
1677003524.0788572,1765376,-2319.73779296875
1677003536.968256,1769472,-2319.961669921875
1677003562.7757163,1777664,-2296.85595703125
1677003576.0358553,1781760,-2276.932373046875
1677003582.3240042,1783808,-2248.72802734375
1677003607.5131617,1792000,-2216.79345703125
1677003613.9130402,1794048,-2231.147216796875
1677003620.3122659,1796096,-2254.129638671875
1677003626.722999,1798144,-2233.551513671875
1677003650.4153175,1804288,-2281.493896484375
1677003656.9369404,1806336,-2312.96240234375
1677003663.4060836,1808384,-2310.46484375
1677003676.3456028,1812480,-2364.63671875
1677003695.624977,1818624,-2369.976806640625
1677003709.1895566,1822720,-2357.25244140625
1677003716.4041698,1824768,-2354.30859375
1677003729.4903097,1828864,-2389.299072265625
1677003735.8004584,1830912,-2425.416748046875
1677003755.5853076,1837056,-2468.7607421875
1677003775.079019,1843200,-2501.945068359375
1677003782.0517716,1845248,-2553.8291015625
1677003827.416901,1859584,-2464.78173828125
1677003834.1467674,1861632,-2476.876708984375
1677003840.3675363,1863680,-2445.87060546875
1677003847.0004232,1865728,-2483.51416015625
1677003859.8659406,1869824,-2499.746337890625
1677003865.9913824,1871872,-2512.002685546875
1677003878.7398272,1875968,-2547.2373046875
1677003885.274055,1878016,-2549.660400390625
1677003891.55064,1880064,-2530.568115234375
1677003910.826908,1886208,-2520.8779296875
1677003917.485705,1888256,-2570.606689453125
1677003924.1155906,1890304,-2552.286376953125
1677003930.5650012,1892352,-2492.334716796875
1677003943.3782995,1896448,-2575.982177734375
1677003988.0707772,1908736,-2682.5751953125
1677003994.2282474,1910784,-2697.629150390625
1677004013.5317214,1916928,-2726.17529296875
1677004059.582247,1931264,-2620.1533203125
1677004079.6061246,1937408,-2635.221435546875
1677004125.2402596,1951744,-2581.82470703125
1677004131.7500672,1953792,-2556.58056640625
1677004138.1703496,1955840,-2564.7265625
1677004151.1103675,1959936,-2605.29296875
1677004157.2644994,1961984,-2654.064208984375
1677004163.5990481,1964032,-2653.0615234375
1677004182.326473,1970176,-2728.94970703125
1677004189.048984,1972224,-2679.2197265625
1677004201.8821273,1976320,-2691.62255859375
1677004214.7205114,1980416,-2631.173583984375
1677004221.3323722,1982464,-2655.865966796875
1677004246.2818332,1990656,-2601.864501953125
1677004252.634642,1992704,-2597.527587890625
1677004283.4976716,2000896,-2582.883056640625
1677004289.6484349,2002944,-2591.729248046875
1677004296.244655,2004992,-2536.758056640625
1677004302.724814,2007040,-2559.891845703125
1677004322.14751,2013184,-2563.04638671875
1677004328.6592314,2015232,-2532.8447265625
1677004334.983657,2017280,-2487.922119140625
1677004354.2016153,2023424,-2523.9794921875
1677004360.4257014,2025472,-2498.728271484375
1677004410.836788,2041856,-2609.809814453125
1677004439.9998891,2050048,-2661.413330078125
1677004453.2837517,2054144,-2673.111328125
1677004466.5615222,2058240,-2707.4833984375
1677004473.3724878,2060288,-2720.700439453125
1677004492.7763128,2066432,-2746.18310546875
1677004499.2512825,2068480,-2711.818359375
1677004511.3051145,2072576,-2698.17041015625
1677004517.8737273,2074624,-2724.608154296875
1677004524.1693811,2076672,-2734.793701171875
1677004530.6443677,2078720,-2753.627685546875
1677004550.202748,2084864,-2604.373779296875
1677004606.467177,2101248,-2594.33203125
1677004618.816378,2105344,-2594.02880859375
1677004631.6482556,2109440,-2564.80810546875
1677004644.750477,2113536,-2590.32958984375
1677004652.6293085,2115584,-2598.945068359375
1677004659.1208532,2117632,-2584.42138671875
1677004671.816559,2121728,-2547.58984375
1677004684.4827983,2125824,-2545.183349609375
1677004690.8123279,2127872,-2595.754150390625
1677004697.2455776,2129920,-2600.538818359375
1677004716.760264,2136064,-2582.072998046875
1677004729.1526961,2140160,-2602.56787109375
1677004774.0465577,2154496,-2642.60107421875
1677004780.4300199,2156544,-2660.651123046875
1677004800.3612623,2162688,-2606.510986328125
1677004814.0858977,2166784,-2558.705810546875
1677004855.499987,2179072,-2425.353271484375
1677004862.5054545,2181120,-2446.281494140625
1677004876.692972,2185216,-2458.910888671875
1677004890.18368,2189312,-2429.785888671875
1677004916.4426346,2197504,-2358.177490234375
1677004949.6315699,2205696,-2348.13232421875
1677004962.8474085,2209792,-2323.261962890625
1677004975.2701867,2213888,-2274.096923828125
1677004995.0824292,2220032,-2344.24560546875
1677005001.9702258,2222080,-2350.089111328125
1677005008.7044823,2224128,-2373.135009765625
1677005015.4099185,2226176,-2363.477783203125
1677005056.6747727,2238464,-2439.365478515625
1677005063.532516,2240512,-2443.77978515625
1677005104.615617,2252800,-2426.999267578125
1677005118.020313,2256896,-2440.048828125
1677005131.336363,2260992,-2444.138427734375
1677005137.8790317,2263040,-2473.51611328125
1677005144.6730275,2265088,-2438.9140625
1677005207.1988273,2283520,-2242.209716796875
1677005220.2920456,2287616,-2267.96875
1677005239.9800878,2293760,-2214.196044921875
1677005269.9912634,2301952,-2287.722412109375
1677005282.683972,2306048,-2270.497802734375
1677005288.8457406,2308096,-2261.121337890625
1677005315.6372917,2316288,-2214.40478515625
1677005322.2372546,2318336,-2228.34130859375
1677005334.688933,2322432,-2243.8720703125
1677005340.8890774,2324480,-2239.197998046875
1677005347.5685952,2326528,-2233.590576171875
1677005367.4638486,2332672,-2238.681640625
1677005374.4588387,2334720,-2235.2314453125
1677005438.8507962,2355200,-2224.17041015625
1677005451.6742396,2359296,-2210.8076171875
1677005457.8135638,2361344,-2262.381591796875
1677005477.4238362,2367488,-2275.35693359375
1677005483.9343157,2369536,-2232.05859375
1677005490.1576567,2371584,-2247.388916015625
1677005510.0227711,2377728,-2237.42626953125
1677005516.3900335,2379776,-2231.406982421875
1677005523.2122433,2381824,-2240.098388671875
1677005622.5930116,2412544,-2050.76953125
1677005642.0789778,2418688,-2014.646240234375
1677005654.871202,2422784,-1995.67041015625
1677005663.471185,2424832,-2030.335693359375
1677005678.6172152,2428928,-2049.0126953125
1677005684.9028008,2430976,-2066.05078125
1677005704.420299,2437120,-2081.7685546875
1677005724.5566595,2443264,-2102.259765625
1677005730.906772,2445312,-2115.823974609375
1677005737.0335145,2447360,-2093.829833984375
1677005743.7057695,2449408,-2090.901123046875
1677005756.4955988,2453504,-2050.78173828125
1677005768.7216902,2457600,-2026.25048828125
1677005781.3798182,2461696,-2043.75927734375
1677005794.217767,2465792,-2021.7454833984375
1677005800.909337,2467840,-1978.1234130859375
1677005814.2382684,2471936,-1913.90185546875
1677005827.4824765,2476032,-1882.2662353515625
1677005840.4146514,2480128,-1902.7220458984375
1677005846.9754863,2482176,-1930.1300048828125
1677005853.4274664,2484224,-1935.3609619140625
1677005860.1324465,2486272,-1954.2689208984375
1677005866.255401,2488320,-1965.8919677734375
1677005936.8592765,2508800,-2093.258544921875
1677005963.3723655,2516992,-2149.131103515625
1677005991.2047455,2525184,-2236.006591796875
1677005997.09896,2527232,-2247.086669921875
1677006003.5864053,2529280,-2232.82275390625
1677006016.4767995,2533376,-2237.510498046875
1677006036.2609687,2539520,-2242.244140625
1677006055.54996,2545664,-2218.56640625
1677006068.3866591,2549760,-2247.640869140625
1677006081.69829,2553856,-2242.284423828125
1677006088.2997613,2555904,-2258.641845703125
1677006101.1282697,2560000,-2299.670166015625
1677006127.2788038,2568192,-2287.003662109375
1677006133.798404,2570240,-2279.954833984375
1677006140.1878145,2572288,-2254.7900390625
1677006153.0535307,2576384,-2272.2783203125
1677006159.7891583,2578432,-2213.849365234375
1677006181.2472084,2584576,-2230.092529296875
1677006190.024394,2586624,-2243.388427734375
1677006196.6306858,2588672,-2257.62841796875
1677006203.3697782,2590720,-2288.412109375
1677006215.8093584,2594816,-2256.907470703125
1677006251.1728501,2605056,-2204.132568359375
1677006257.7703004,2607104,-2160.792236328125
1677006270.6983435,2611200,-2150.764892578125
1677006296.6254792,2619392,-2079.685791015625
1677006303.067703,2621440,-2079.205078125
